clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 16,6,SC Freiburg,25,16,7,4,5,25,21
Temporada2020,Jornada 16,7,B. Leverkusen,25,16,7,4,5,22,21
Temporada2020,Jornada 16,8,Wolfsburg,24,16,6,6,4,18,16
Temporada2020,Jornada 16,9,Hoffenheim,24,16,7,3,6,23,27
Temporada2020,Jornada 16,10,FC Augsburg,23,16,6,5,5,27,28
Temporada2020,Jornada 16,11,Union Berlin,20,16,6,2,8,19,22
Temporada2020,Jornada 16,12,Eintracht,18,16,5,3,8,26,27
Temporada2020,Jornada 16,13,Hertha BSC,18,16,5,3,8,22,29
Temporada2020,Jornada 16,14,Mainz 05,18,16,6,0,10,25,38
Temporada2020,Jornada 16,15,Köln,14,16,4,2,10,18,32
Temporada2020,Jornada 16,16,Werder Bremen,14,16,3,5,8,23,40
Temporada2020,Jornada 16,17,Fortuna,12,16,3,3,10,16,35
Temporada2020,Jornada 16,18,Paderborn,9,16,2,3,11,18,35
Temporada2020,Jornada 17,1,RB Leipzig,37,17,11,4,2,48,20
Temporada2020,Jornada 17,2,Monchengladbach,35,17,11,2,4,33,18
Temporada2020,Jornada 17,3,Bayern München,33,17,10,3,4,46,22
Temporada2020,Jornada 17,4,B. Dortmund,30,17,8,6,3,41,24
Temporada2020,Jornada 17,5,Schalke 04,30,17,8,6,3,29,21
Temporada2020,Jornada 17,6,B. Leverkusen,28,17,8,4,5,23,21
Temporada2020,Jornada 17,7,Hoffenheim,27,17,8,3,6,25,28
Temporada2020,Jornada 17,8,SC Freiburg,26,17,7,5,5,27,23
Temporada2020,Jornada 17,9,Wolfsburg,24,17,6,6,5,18,18
Temporada2020,Jornada 17,10,FC Augsburg,23,17,6,5,6,28,31
Temporada2020,Jornada 17,11,Union Berlin,20,17,6,2,9,20,24
Temporada2020,Jornada 17,12,Hertha BSC,19,17,5,4,8,22,29
Temporada2020,Jornada 17,13,Eintracht,18,17,5,3,9,27,29
Temporada2020,Jornada 17,14,Mainz 05,18,17,6,0,11,25,39
Temporada2020,Jornada 17,15,Köln,17,17,5,2,10,19,32
Temporada2020,Jornada 17,16,Fortuna,15,17,4,3,10,18,36
Temporada2020,Jornada 17,17,Werder Bremen,14,17,3,5,9,23,41
Temporada2020,Jornada 17,18,Paderborn,12,17,3,3,11,20,36
Temporada2020,Jornada 18,1,RB Leipzig,40,18,12,4,2,51,21
Temporada2020,Jornada 18,2,Bayern München,36,18,11,3,4,50,22
Temporada2020,Jornada 18,3,Monchengladbach,35,18,11,2,5,33,20
Temporada2020,Jornada 18,4,B. Dortmund,33,18,9,6,3,46,27
Temporada2020,Jornada 18,5,Schalke 04,33,18,9,6,3,31,21
Temporada2020,Jornada 18,6,B. Leverkusen,31,18,9,4,5,27,22
Temporada2020,Jornada 18,7,SC Freiburg,29,18,8,5,5,29,24
Temporada2020,Jornada 18,8,Hoffenheim,27,18,8,3,7,26,30
Temporada2020,Jornada 18,9,Wolfsburg,24,18,6,6,6,19,21
Temporada2020,Jornada 18,10,FC Augsburg,23,18,6,5,7,31,36
Temporada2020,Jornada 18,11,Eintracht,21,18,6,3,9,29,30
Temporada2020,Jornada 18,12,Union Berlin,20,18,6,2,10,21,27
Temporada2020,Jornada 18,13,Köln,20,18,6,2,10,22,33
Temporada2020,Jornada 18,14,Hertha BSC,19,18,5,4,9,22,33
Temporada2020,Jornada 18,15,Mainz 05,18,18,6,0,12,26,41
Temporada2020,Jornada 18,16,Werder Bremen,17,18,4,5,9,24,41
Temporada2020,Jornada 18,17,Fortuna,15,18,4,3,11,18,37
Temporada2020,Jornada 18,18,Paderborn,12,18,3,3,12,21,40
Temporada2020,Jornada 19,1,RB Leipzig,40,19,12,4,3,51,23
Temporada2020,Jornada 19,2,Bayern München,39,19,12,3,4,55,22
Temporada2020,Jornada 19,3,Monchengladbach,38,19,12,2,5,36,21
Temporada2020,Jornada 19,4,B. Dortmund,36,19,10,6,3,51,28
Temporada2020,Jornada 19,5,B. Leverkusen,34,19,10,4,5,30,22
Temporada2020,Jornada 19,6,Schalke 04,33,19,9,6,4,31,26
Temporada2020,Jornada 19,7,Hoffenheim,30,19,9,3,7,29,30
Temporada2020,Jornada 19,8,SC Freiburg,29,19,8,5,6,29,26
Temporada2020,Jornada 19,9,Eintracht,24,19,7,3,9,31,30
Temporada2020,Jornada 19,10,Wolfsburg,24,19,6,6,7,20,23
Temporada2020,Jornada 19,11,Union Berlin,23,19,7,2,10,23,27
Temporada2020,Jornada 19,12,FC Augsburg,23,19,6,5,8,31,38
Temporada2020,Jornada 19,13,Hertha BSC,22,19,6,4,9,24,34
Temporada2020,Jornada 19,14,Köln,20,19,6,2,11,23,38
Temporada2020,Jornada 19,15,Mainz 05,18,19,6,0,13,27,44
Temporada2020,Jornada 19,16,Werder Bremen,17,19,4,5,10,24,44
Temporada2020,Jornada 19,17,Paderborn,15,19,4,3,12,23,40
Temporada2020,Jornada 19,18,Fortuna,15,19,4,3,12,18,40
Temporada2020,Jornada 20,1,Bayern München,42,20,13,3,4,58,23
Temporada2020,Jornada 20,2,RB Leipzig,41,20,12,5,3,53,25
Temporada2020,Jornada 20,3,B. Dortmund,39,20,11,6,3,56,28
Temporada2020,Jornada 20,4,Monchengladbach,39,20,12,3,5,38,23
Temporada2020,Jornada 20,5,B. Leverkusen,34,20,10,4,6,31,24
Temporada2020,Jornada 20,6,Schalke 04,34,20,9,7,4,31,26
Temporada2020,Jornada 20,7,Hoffenheim,33,20,10,3,7,31,31
Temporada2020,Jornada 20,8,SC Freiburg,29,20,8,5,7,29,30
Temporada2020,Jornada 20,9,Wolfsburg,27,20,7,6,7,24,25
Temporada2020,Jornada 20,10,FC Augsburg,26,20,7,5,8,33,39
Temporada2020,Jornada 20,11,Eintracht,25,20,7,4,9,32,31
Temporada2020,Jornada 20,12,Union Berlin,23,20,7,2,11,23,32
Temporada2020,Jornada 20,13,Hertha BSC,23,20,6,5,9,24,34
Temporada2020,Jornada 20,14,Köln,23,20,7,2,11,27,38
