Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Real Madrid,Jornada 13,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Sociedad,Jornada 13,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Sporting,Jornada 13,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Sevilla,Jornada 13,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Valencia,Jornada 13,Temporada2017,2,0,2,"-0,7034942","0,2785236","0,9827968"
Villarreal,Jornada 13,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Athletic Bilbao,Jornada 14,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 14,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Celta de Vigo,Jornada 14,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Deportivo,Jornada 14,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Eibar,Jornada 14,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Espanyol,Jornada 14,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Granada,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Las Palmas,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Leganés,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Málaga,Jornada 14,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Osasuna,Jornada 14,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Betis,Jornada 14,Temporada2017,2,0,4,"-0,7474236","0,322453","1,0267262"
Real Madrid,Jornada 14,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 14,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sporting,Jornada 14,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Sevilla,Jornada 14,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Valencia,Jornada 14,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Villarreal,Jornada 14,Temporada2017,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Alavés,Jornada 15,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Athletic Bilbao,Jornada 15,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Atlético Madrid,Jornada 15,Temporada2017,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Barcelona,Jornada 15,Temporada2017,0,1,3,"-0,3032203","-0,1217503","0,5825229"
