clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 16,19,Leganés,9,16,2,3,11,11,27
Temporada2020,Jornada 16,20,Espanyol,9,16,2,3,11,10,30
Temporada2020,Jornada 17,1,Real Madrid,36,17,10,6,1,33,12
Temporada2020,Jornada 17,2,Barcelona,36,17,11,3,3,43,20
Temporada2020,Jornada 17,3,Sevilla,31,17,9,4,4,21,17
Temporada2020,Jornada 17,4,Getafe,30,17,8,6,3,26,16
Temporada2020,Jornada 17,5,Atlético Madrid,29,17,7,8,2,18,10
Temporada2020,Jornada 17,6,Real Sociedad,28,17,8,4,5,28,20
Temporada2020,Jornada 17,7,Athletic Bilbao,27,17,7,6,4,19,12
Temporada2020,Jornada 17,8,Valencia,27,17,7,6,4,27,24
Temporada2020,Jornada 17,9,Granada,24,17,7,3,7,24,22
Temporada2020,Jornada 17,10,Osasuna,23,17,5,8,4,22,20
Temporada2020,Jornada 17,11,Levante,23,17,7,2,8,22,26
Temporada2020,Jornada 17,12,Real Betis,23,17,6,5,6,24,29
Temporada2020,Jornada 17,13,Villarreal,22,17,6,4,7,30,25
Temporada2020,Jornada 17,14,Alavés,19,17,5,4,8,18,24
Temporada2020,Jornada 17,15,Real Valladolid,19,17,4,7,6,14,20
Temporada2020,Jornada 17,16,Eibar,16,17,4,4,9,15,28
Temporada2020,Jornada 17,17,Real Mallorca,15,17,4,3,10,18,30
Temporada2020,Jornada 17,18,Celta de Vigo,14,17,3,5,9,14,25
Temporada2020,Jornada 17,19,Leganés,10,17,2,4,11,12,28
Temporada2020,Jornada 17,20,Espanyol,10,17,2,4,11,12,32
Temporada2020,Jornada 18,1,Barcelona,39,18,12,3,3,47,21
Temporada2020,Jornada 18,2,Real Madrid,37,18,10,7,1,33,12
Temporada2020,Jornada 18,3,Sevilla,34,18,10,4,4,23,17
Temporada2020,Jornada 18,4,Atlético Madrid,32,18,8,8,2,20,11
Temporada2020,Jornada 18,5,Real Sociedad,31,18,9,4,5,32,23
Temporada2020,Jornada 18,6,Getafe,30,18,8,6,4,26,17
Temporada2020,Jornada 18,7,Athletic Bilbao,28,18,7,7,4,19,12
Temporada2020,Jornada 18,8,Valencia,28,18,7,7,4,28,25
Temporada2020,Jornada 18,9,Levante,26,18,8,2,8,25,27
Temporada2020,Jornada 18,10,Villarreal,25,18,7,4,7,31,25
Temporada2020,Jornada 18,11,Granada,24,18,7,3,8,24,25
Temporada2020,Jornada 18,12,Osasuna,23,18,5,8,5,25,24
Temporada2020,Jornada 18,13,Real Betis,23,18,6,5,7,25,31
Temporada2020,Jornada 18,14,Real Valladolid,20,18,4,8,6,15,21
Temporada2020,Jornada 18,15,Alavés,19,18,5,4,9,19,28
Temporada2020,Jornada 18,16,Eibar,19,18,5,4,9,18,28
Temporada2020,Jornada 18,17,Real Mallorca,15,18,4,3,11,18,32
Temporada2020,Jornada 18,18,Celta de Vigo,14,18,3,5,10,15,28
Temporada2020,Jornada 18,19,Leganés,13,18,3,4,11,14,28
Temporada2020,Jornada 18,20,Espanyol,10,18,2,4,12,12,34
Temporada2020,Jornada 19,1,Real Madrid,40,19,11,7,1,36,12
Temporada2020,Jornada 19,2,Barcelona,40,19,12,4,3,49,23
Temporada2020,Jornada 19,3,Atlético Madrid,35,19,9,8,2,22,12
Temporada2020,Jornada 19,4,Sevilla,35,19,10,5,4,24,18
