Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Bundesliga,Temporada2020,Jornada 23,Eintracht,11,28,38,37,LOCAL,1 - 2,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,Union Berlin,12,26,,,,1
Bundesliga,Temporada2020,Jornada 23,FC Augsburg,12,27,34,47,VISITANTE,2 - 0, 0,3,64,0,0,0,12,2,23,1,26,75,71,0,0,0,1,0,3,1,0,0,1,0,4,4,39,0,0,11,27,B. Leverkusen,5,40,26,77,184,0
Bundesliga,Temporada2020,Jornada 23,Köln,13,26,33,42,VISITANTE,0 - 5, 5,3,64,0,0,1,13,0,19,2,27,65,66,0,0,1,1,0,4,1,1,0,1,1,3,2,52,0,2,14,23,Hertha BSC,13,26,25,76,184,0
Bundesliga,Temporada2020,Jornada 23,Hertha BSC,14,26,27,43,LOCAL,0 - 5,0 ,2,63,0,0,0,9,1,13,1,32,46,69,0,0,0,0,0,2,1,0,0,0,0,0,2,44,0,1,13,26,Köln,14,23,25,76,184,0
Bundesliga,Temporada2020,Jornada 23,Mainz 05,15,22,31,52,VISITANTE,4 - 0, 0,3,65,0,0,1,12,2,30,0,23,58,69,0,0,0,1,0,1,1,0,0,0,0,1,2,44,0,1,15,22,Wolfsburg,9,31,25,76,181,0
Bundesliga,Temporada2020,Jornada 23,Fortuna,16,20,23,46,VISITANTE,0 - 2, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,SC Freiburg,7,33,,,,0
Bundesliga,Temporada2020,Jornada 23,Werder Bremen,17,17,25,53,LOCAL,0 - 2,0 ,3,65,0,0,1,13,1,23,1,29,80,74,0,0,0,0,0,3,1,1,0,1,0,3,0,47,0,0,17,17,B. Dortmund,3,42,27,73,182,0
Bundesliga,Temporada2020,Jornada 23,Paderborn,18,16,29,50,VISITANTE,3 - 2, 2,3,66,0,0,0,8,0,17,3,34,54,68,0,0,0,1,0,2,1,1,0,0,0,2,3,49,0,1,18,16,Bayern München,1,46,26,76,182,0
Bundesliga,Temporada2020,Jornada 24,Bayern München,1,52,71,26,VISITANTE,0 - 6, 6,3,65,0,0,2,10,0,27,1,28,55,68,0,0,0,0,0,4,1,0,0,0,0,1,0,42,0,1,1,49,Hoffenheim,8,34,26,75,181,1
Bundesliga,Temporada2020,Jornada 24,RB Leipzig,2,49,62,26,LOCAL,1 - 1,1 ,3,69,0,0,0,11,1,33,2,18,76,67,0,0,0,0,0,1,1,1,0,0,0,0,0,33,0,0,2,48,B. Leverkusen,5,43,24,75,181,0
Bundesliga,Temporada2020,Jornada 24,Monchengladbach,3,49,48,28,VISITANTE,2 - 3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,FC Augsburg,12,27,,,,0
Bundesliga,Temporada2020,Jornada 24,B. Dortmund,4,48,66,32,LOCAL,1 - 0,1 ,3,67,0,1,1,13,1,27,1,20,63,70,0,0,0,0,0,1,0,0,0,0,0,4,1,19,0,0,3,45,SC Freiburg,9,33,26,75,183,0
Bundesliga,Temporada2020,Jornada 24,B. Leverkusen,5,44,41,30,VISITANTE,1 - 1, 1,3,67,0,0,0,16,1,26,2,24,75,67,0,0,0,1,0,2,0,0,0,0,0,2,3,34,0,3,5,43,RB Leipzig,2,48,24,74,184,1
Bundesliga,Temporada2020,Jornada 24,Schalke 04,6,36,32,35,VISITANTE,3 - 0, 0,3,65,0,0,1,8,1,28,1,24,54,72,0,0,0,1,0,3,1,0,0,0,0,4,2,40,0,1,6,36,Köln,13,26,24,74,182,0
Bundesliga,Temporada2020,Jornada 24,Wolfsburg,7,35,34,30,VISITANTE,2 - 2, 2,3,67,0,0,0,8,0,11,3,47,76,73,0,0,0,1,0,1,0,0,0,0,0,1,2,38,0,1,7,34,Union Berlin,10,29,26,76,185,1
Bundesliga,Temporada2020,Jornada 24,Hoffenheim,8,34,34,42,LOCAL,0 - 6,0 ,3,66,0,0,0,17,2,25,1,16,49,66,0,0,0,0,0,1,1,0,0,1,0,1,0,45,0,0,8,34,Bayern München,1,49,26,73,182,0
Bundesliga,Temporada2020,Jornada 24,SC Freiburg,9,33,31,34,VISITANTE,1 - 0, 0,3,65,0,1,1,10,1,15,1,37,67,69,0,0,0,0,0,4,1,0,0,0,0,4,0,31,0,1,9,33,B. Dortmund,3,45,27,77,183,0
Bundesliga,Temporada2020,Jornada 24,Eintracht,10,31,41,37,VISITANTE,0 - 3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,Werder Bremen,17,17,,,,1
Bundesliga,Temporada2020,Jornada 24,Union Berlin,11,30,31,38,LOCAL,2 - 2,2 ,3,69,0,0,0,9,2,18,1,42,74,71,0,0,0,0,0,2,0,0,0,0,0,1,1,49,0,2,10,29,Wolfsburg,7,34,28,80,187,0
Bundesliga,Temporada2020,Jornada 24,Köln,12,29,37,44,LOCAL,3 - 0,3 ,3,67,0,0,0,14,0,19,3,29,79,66,0,0,0,1,0,2,1,0,0,1,0,4,1,54,0,2,13,26,Schalke 04,6,36,25,76,185,0
Bundesliga,Temporada2020,Jornada 24,FC Augsburg,13,27,36,50,LOCAL,2 - 3,2 ,3,67,0,0,1,12,1,25,1,27,68,71,0,0,0,1,0,4,1,1,0,0,0,4,3,43,0,0,12,27,Monchengladbach,4,43,26,76,182,0
Bundesliga,Temporada2020,Jornada 24,Hertha BSC,14,27,30,46,VISITANTE,3 - 3, 3,3,65,0,0,0,9,0,14,3,33,60,68,0,0,0,0,0,7,1,1,0,0,0,0,2,46,0,1,14,26,Fortuna,16,20,25,72,181,0
